10000	0.105237	0.103939	0.109315
20000	0.425481	0.417588	0.445704
30000	0.943834	0.934195	0.955697
40000	1.67713	1.66366	1.69629
50000	2.6206	2.60571	2.65777
60000	3.8022	3.76155	4.01804
70000	5.43678	5.33736	5.50318
80000	7.12013	7.04939	7.20555
90000	8.98666	8.91935	9.03545
100000	11.1759	11.0802	11.4139
110000	13.5283	13.4331	13.6892
120000	19.0656	19.0332	19.1202
130000	22.3771	22.3004	22.4436
140000	25.9561	25.9058	26.0204
150000	29.7889	29.6706	29.939
160000	33.9147	33.8235	34.0259
170000	38.2266	38.1259	38.3329
180000	42.8657	42.7432	42.9412
190000	47.8085	47.6302	47.9404
200000	52.9838	52.8014	53.1287
210000	58.3711	58.1907	58.5303
220000	63.9868	63.8596	64.172
230000	70.887	69.8593	73.2974
240000	76.3686	75.9507	78.1387
250000	82.751	82.6024	82.8863
