10000	0.0865284
30416	0.791241
50832	2.24277
71248	4.35477
91664	7.20513
112080	10.7679
132496	15.0033
152912	19.9737
173328	25.9716
193744	32.1022
214160	39.1953
234576	47.3524
254992	55.6603
275408	65.0143
295824	75.3183
316240	85.7505
336656	97.2228
357072	109.213
377488	122.394
397904	135.933
418320	149.989
438736	164.694
459152	180.542
479568	197.071
499984	213.985

10000	0.0850001
30416	0.787349
50832	2.2034
71248	4.34577
91664	7.17366
112080	10.7345
132496	15.0018
152912	19.9936
173328	25.7541
193744	32.1174
214160	39.252
234576	47.0477
254992	55.6861
275408	65.0085
295824	74.9818
316240	85.7199
336656	97.2425
357072	109.299
377488	122.113
397904	136.149
418320	149.79
438736	164.927
459152	181.086
479568	197.662
499984	214.014
