10000	0.088535	0.0880345	0.0895446
20000	0.354687	0.352402	0.358669
30000	0.79782	0.792375	0.80273
40000	1.4192	1.40759	1.42892
50000	2.22118	2.20573	2.23231
60000	3.2016	3.18336	3.21279
70000	4.37418	4.35304	4.40874
80000	5.7272	5.70391	5.75255
90000	7.21652	7.17685	7.25128
100000	8.92346	8.89897	8.95809
110000	10.8264	10.7899	10.867
120000	12.8582	12.814	12.9356
130000	15.1017	15.0254	15.1921
140000	17.5327	17.4694	17.5997
150000	20.1069	20.0674	20.1786
160000	22.9434	22.85	23.015
170000	25.8115	25.7035	25.8672
180000	28.9723	28.9005	29.1372
190000	32.2555	32.1377	32.3283
200000	35.6855	35.5895	35.7787
210000	39.506	39.4069	39.6752
220000	43.3629	43.2389	43.505
230000	47.335	47.2414	47.5681
240000	51.5505	51.4135	51.6328
